Source Target Weight
杜伯仲 高育良 17
杜伯仲 高小琴 11
杜伯仲 祁同伟 16
杜伯仲 赵瑞龙 63
郑西坡 陈岩石 55
郑西坡 蔡成功 27
郑西坡 宝宝 16
郑西坡 郑胜利 13
郑西坡 李达康 6
郑西坡 赵东来 4
郑西坡 孙连城 14
郑西坡 王文革 47
宝宝 郑西坡 16
宝宝 郑胜利 22
刘新建 陆亦可 16
刘新建 高小琴 12
刘新建 肖钢玉 7
刘新建 季昌明 14
刘新建 赵东来 5
刘新建 祁同伟 38
刘新建 丁义珍 22
刘新建 赵瑞龙 56
刘新建 侯亮平 147
刘新建 高育良 21
赵瑞龙 杜伯仲 63
赵瑞龙 陆亦可 6
赵瑞龙 高育良 33
赵瑞龙 刘新建 56
赵瑞龙 李达康 26
赵瑞龙 沙瑞金 8
赵瑞龙 欧阳菁 4
赵瑞龙 高小琴 44
赵瑞龙 侯亮平 59
赵瑞龙 祁同伟 61
赵瑞龙 易学习 4
侯亮平 刘新建 147
侯亮平 赵瑞龙 59
侯亮平 陈清泉 19
侯亮平 蔡成功 415
侯亮平 肖钢玉 86
侯亮平 陈海 294
侯亮平 赵东来 82
侯亮平 陆亦可 191
侯亮平 赵德汉 69
侯亮平 高育良 327
侯亮平 李达康 153
侯亮平 钟小艾 53
侯亮平 高小琴 158
侯亮平 丁义珍 134
侯亮平 周正 8
侯亮平 欧阳菁 119
侯亮平 季昌明 204
侯亮平 陈岩石 48
侯亮平 沙瑞金 71
侯亮平 祁同伟 283
陈清泉 高小琴 10
陈清泉 陈岩石 5
陈清泉 蔡成功 4
陈清泉 李达康 22
陈清泉 高育良 29
陈清泉 赵东来 4
陈清泉 祁同伟 9
陈清泉 侯亮平 19
蔡成功 郑西坡 27
蔡成功 侯亮平 415
蔡成功 陈清泉 4
蔡成功 肖钢玉 23
蔡成功 陈海 140
蔡成功 赵东来 82
蔡成功 陆亦可 86
蔡成功 孙连城 5
蔡成功 王大路 6
蔡成功 高育良 23
蔡成功 李达康 88
蔡成功 季昌明 34
蔡成功 欧阳菁 95
蔡成功 王文革 17
蔡成功 周正 20
蔡成功 丁义珍 100
蔡成功 高小琴 89
蔡成功 陈岩石 22
蔡成功 祁同伟 25
郑胜利 陈岩石 6
郑胜利 郑西坡 13
郑胜利 宝宝 22
郑胜利 沙瑞金 4
郑胜利 李达康 4
肖钢玉 丁义珍 8
肖钢玉 高育良 40
肖钢玉 蔡成功 23
肖钢玉 陈海 5
肖钢玉 陆亦可 10
肖钢玉 刘新建 7
肖钢玉 季昌明 36
肖钢玉 侯亮平 86
陈海 陆亦可 43
陈海 季昌明 37
陈海 陈岩石 26
陈海 蔡成功 140
陈海 李达康 71
陈海 肖钢玉 5
陈海 高育良 86
陈海 沙瑞金 5
陈海 丁义珍 140
陈海 祁同伟 78
陈海 赵德汉 7
陈海 侯亮平 294
陈海 赵东来 29
陈海 欧阳菁 15
陈海 高小琴 9
赵东来 丁义珍 5
赵东来 季昌明 17
赵东来 陈岩石 10
赵东来 蔡成功 82
赵东来 郑西坡 4
赵东来 刘新建 5
赵东来 李达康 57
赵东来 高小琴 4
赵东来 陈海 29
赵东来 陆亦可 22
赵东来 祁同伟 12
赵东来 孙连城 6
赵东来 侯亮平 82
赵东来 欧阳菁 21
赵东来 陈清泉 4
陆亦可 欧阳菁 59
陆亦可 季昌明 29
陆亦可 陈岩石 4
陆亦可 蔡成功 86
陆亦可 沙瑞金 4
陆亦可 李达康 44
陆亦可 肖钢玉 10
陆亦可 刘新建 16
陆亦可 陈海 43
陆亦可 赵东来 22
陆亦可 丁义珍 55
陆亦可 祁同伟 15
陆亦可 周正 7
陆亦可 赵瑞龙 6
陆亦可 侯亮平 191
陆亦可 高育良 9
陆亦可 高小琴 53
